"user_id","job_id","direction","time"
4770,2776,true,2019-09-04 07:10:36
10539,10152,false,2019-09-21 07:55:13
2655,2826,false,2019-08-14 15:30:08
7722,9227,false,2019-09-01 22:51:39
3366,2911,false,2019-08-15 20:48:41
6750,891,false,2019-08-28 21:47:16
7929,9280,true,2019-09-03 12:30:16
6642,4039,true,2019-08-27 19:51:16
1278,777,false,2019-08-12 16:23:53
1791,3367,true,2019-08-13 09:13:35
10701,11548,false,2019-09-23 13:29:31
7830,3153,false,2019-09-02 14:16:58
3033,2187,false,2019-08-15 05:49:27
2862,3217,false,2019-09-24 20:51:07
10458,7600,false,2019-09-20 11:00:25
5193,9463,true,2019-08-23 08:32:19
1656,6105,false,2019-08-13 12:54:17
3762,3703,false,2019-08-16 17:44:39
2277,2952,true,2019-08-14 09:04:56
1791,3636,true,2019-08-13 09:12:43
6138,2565,true,2019-08-24 10:07:01
1089,3356,false,2019-08-12 14:26:23
1512,7216,true,2019-08-12 19:49:11
1728,7737,true,2019-09-06 08:43:06
7074,2884,true,2019-09-11 12:56:51
6939,7209,false,2019-08-29 12:50:59
6615,2720,false,2019-08-27 17:31:07
2853,4753,false,2019-08-14 17:51:06
4320,4615,true,2019-08-19 21:33:41
3150,5433,false,2019-09-05 09:46:00
2610,7414,false,2019-08-16 13:29:34
4887,9664,true,2019-08-20 11:28:27
4338,4438,false,2019-08-19 04:22:14
9405,1507,false,2019-09-18 20:21:30
3339,3306,false,2019-08-15 19:25:09
10422,4736,false,2019-09-19 21:01:50
2727,2725,false,2019-08-14 16:28:44
1836,399,true,2019-08-19 13:32:15
7677,4615,true,2019-09-01 19:24:17
1089,2774,false,2019-08-12 14:21:54
7218,9950,false,2019-08-30 11:25:29
9315,2859,false,2019-09-10 12:28:00
2781,99,false,2019-08-14 20:33:11
8136,6749,false,2019-09-04 13:44:25
7830,6344,false,2019-09-02 14:27:43
1899,7094,true,2019-08-14 12:55:44
6480,2833,false,2019-08-27 09:48:04
5886,70,false,2019-09-13 08:30:06
7794,6866,false,2019-09-23 20:21:16
3339,6052,false,2019-09-23 10:58:34
5193,9452,true,2019-08-23 08:32:15
5346,6867,false,2019-08-21 16:49:43
315,2641,true,2019-08-12 21:42:14
3168,1156,false,2019-08-15 11:25:55
6516,6149,false,2019-08-27 19:43:55
4041,116,false,2019-08-17 12:25:18
2952,2580,true,2019-08-14 20:49:58
8766,9434,false,2019-09-06 16:15:33
4005,3293,true,2019-08-17 10:30:13
10395,12948,false,2019-09-23 22:44:57
8964,3459,true,2019-09-07 21:08:55
9819,11286,false,2019-09-13 07:43:47
3753,6149,false,2019-08-16 18:03:52
9405,3005,false,2019-09-18 20:25:03
7218,2732,false,2019-08-30 11:14:03
7857,7316,false,2019-09-02 16:06:16
5940,3190,false,2019-08-23 12:18:51
4437,10358,false,2019-09-24 20:39:31
4059,1507,false,2019-08-17 14:18:30
6507,9531,true,2019-08-27 14:24:38
4581,2774,false,2019-08-19 15:21:37
702,2316,false,2019-09-22 20:51:30
5913,2823,true,2019-08-29 10:27:53
1125,2196,true,2019-08-12 14:32:49
8226,11231,true,2019-09-04 14:48:18
4887,1334,false,2019-08-20 11:28:41
5724,7987,true,2019-08-22 17:32:54
4311,4024,false,2019-09-01 19:17:43
5688,6063,false,2019-08-23 08:51:06
1656,7547,true,2019-08-13 02:13:53
7650,6702,false,2019-09-02 18:01:06
2277,4911,false,2019-08-14 09:07:29
2709,3754,false,2019-08-18 09:34:06
3339,3556,false,2019-08-15 19:26:56
5121,5755,true,2019-08-22 07:53:03
4167,12035,false,2019-09-16 21:50:45
4158,23,false,2019-08-17 22:49:39
7398,6860,true,2019-08-31 02:23:57
8397,12608,false,2019-09-18 21:58:54
7686,3458,false,2019-09-01 20:06:26
1224,4755,false,2019-08-19 16:05:36
7641,2640,true,2019-09-21 11:17:06
8370,10946,false,2019-09-20 23:37:46
1791,3176,true,2019-08-13 09:08:52
6291,8044,false,2019-08-26 19:35:43
